framework,latency_us,dist_blocked,stop_lin_eps,stop_ang_eps,latency_ms
EasyNav,35989,0.06,0.01,0.01,35.989
EasyNav,31058,0.06,0.01,0.01,31.058
EasyNav,24146,0.06,0.01,0.01,24.146
EasyNav,48710,0.06,0.01,0.01,48.71
EasyNav,24411,0.06,0.01,0.01,24.411
EasyNav,36252,0.06,0.01,0.01,36.252
EasyNav,30314,0.06,0.01,0.01,30.314
EasyNav,36192,0.06,0.01,0.01,36.192
EasyNav,46761,0.06,0.01,0.01,46.761
EasyNav,26631,0.06,0.01,0.01,26.631
EasyNav,24093,0.06,0.01,0.01,24.093
EasyNav,35992,0.06,0.01,0.01,35.992
EasyNav,34388,0.06,0.01,0.01,34.388
EasyNav,27844,0.06,0.01,0.01,27.844
EasyNav,30689,0.06,0.01,0.01,30.689
EasyNav,21988,0.06,0.01,0.01,21.988
EasyNav,37108,0.06,0.01,0.01,37.108
EasyNav,40332,0.06,0.01,0.01,40.332
EasyNav,32711,0.06,0.01,0.01,32.711
EasyNav,33852,0.06,0.01,0.01,33.852
Nav2,321774,0.06,0.01,0.01,321.774
Nav2,482367,0.06,0.01,0.01,482.367
Nav2,375416,0.06,0.01,0.01,375.416
Nav2,318777,0.06,0.01,0.01,318.777
Nav2,391245,0.06,0.01,0.01,391.245
Nav2,341512,0.06,0.01,0.01,341.512
Nav2,240391,0.06,0.01,0.01,240.391
Nav2,300731,0.06,0.01,0.01,300.731
Nav2,424928,0.06,0.01,0.01,424.928
Nav2,354908,0.06,0.01,0.01,354.908
Nav2,342541,0.06,0.01,0.01,342.541
Nav2,410584,0.06,0.01,0.01,410.584
Nav2,405749,0.06,0.01,0.01,405.749
Nav2,600059,0.06,0.01,0.01,600.059
Nav2,309827,0.06,0.01,0.01,309.827
Nav2,421675,0.06,0.01,0.01,421.675
Nav2,418865,0.06,0.01,0.01,418.865
Nav2,443268,0.06,0.01,0.01,443.268
Nav2,362439,0.06,0.01,0.01,362.439
Nav2,276661,0.06,0.01,0.01,276.661
